method,staleness,staleness_weight,step,time,train_loss
FedAvg,,,1,1,2.296894907951355
FedAvg,,,2,2,2.2852110743522642
FedAvg,,,3,3,2.2725178599357605
FedAvg,,,4,4,2.2550079941749575
FedAvg,,,5,5,2.233928894996643
FedAvg,,,6,6,2.205212378501892
FedAvg,,,7,7,2.145468759536743
FedAvg,,,8,8,2.0550789833068848
FedAvg,,,9,9,1.8825435578823089
FedAvg,,,10,10,1.637632578611374
FedAvg,,,11,11,1.2746986657381059
FedAvg,,,12,12,0.8816278368234635
AsyncSGD,0,1.0,1,1,2.3032862067222597
AsyncSGD,1,0.5,2,2,2.302300524711609
AsyncSGD,2,0.3333333333333333,3,2,2.301686644554138
AsyncSGD,3,0.25,4,4,2.3015187978744507
AsyncSGD,4,0.2,5,5,2.301069188117981
AsyncSGD,5,0.16666666666666666,6,5,2.30079824924469
AsyncSGD,5,0.16666666666666666,7,6,2.3005236268043516
AsyncSGD,5,0.16666666666666666,8,6,2.3002347230911253
AsyncSGD,5,0.16666666666666666,9,6,2.2999555826187135
AsyncSGD,4,0.2,10,6,2.2997608542442323
AsyncSGD,1,0.5,11,8,2.299102282524109
AsyncSGD,7,0.125,12,9,2.298882985115051
AsyncSGD,6,0.14285714285714285,13,9,2.2985537528991697
AsyncSGD,6,0.14285714285714285,14,9,2.2983191847801208
AsyncSGD,4,0.2,15,10,2.2979257464408875
AsyncSGD,7,0.125,16,11,2.297726011276245
AsyncSGD,5,0.16666666666666666,17,11,2.297447311878204
AsyncSGD,5,0.16666666666666666,18,12,2.297237205505371
AsyncSGD,3,0.25,19,12,2.2969109416007996
AsyncSGD,6,0.14285714285714285,20,13,2.2966620206832884
AsyncSGD,6,0.14285714285714285,21,13,2.2964202761650085
AsyncSGD,2,0.3333333333333333,22,13,2.2958695769309996
AsyncSGD,5,0.16666666666666666,23,14,2.2956140518188475
AsyncSGD,5,0.16666666666666666,24,14,2.295450043678284
AsyncSGD,8,0.1111111111111111,25,16,2.2951894760131837
AsyncSGD,4,0.2,26,16,2.294896626472473
AsyncSGD,4,0.2,27,16,2.2947476744651794
AsyncSGD,7,0.125,28,17,2.2945050477981566
AsyncSGD,5,0.16666666666666666,29,17,2.294188070297241
AsyncSGD,4,0.2,30,17,2.293925416469574
AsyncSGD,4,0.2,31,18,2.293548035621643
AsyncSGD,4,0.2,32,18,2.293189322948456
AsyncSGD,8,0.1111111111111111,33,19,2.293015217781067
AsyncSGD,5,0.16666666666666666,34,19,2.292636811733246
AsyncSGD,4,0.2,35,19,2.292145252227783
AsyncSGD,4,0.2,36,19,2.2916767835617065
AsyncSGD,4,0.2,37,19,2.291225719451904
AsyncSGD,8,0.1111111111111111,38,20,2.2910433053970336
AsyncSGD,5,0.16666666666666666,39,23,2.29092139005661
AsyncSGD,5,0.16666666666666666,40,23,2.2906797766685485
Async-LocalSGD,0,1.0,1,2,2.2970628261566164
Async-LocalSGD,1,0.5,2,3,2.2918492794036864
Async-LocalSGD,1,0.5,3,3,2.287731385231018
Async-LocalSGD,3,0.25,4,4,2.2863075852394106
Async-LocalSGD,4,0.2,5,4,2.2847132205963137
Async-LocalSGD,2,0.3333333333333333,6,4,2.279655659198761
Async-LocalSGD,6,0.14285714285714285,7,5,2.2788952350616456
Async-LocalSGD,7,0.125,8,5,2.27830685377121
Async-LocalSGD,6,0.14285714285714285,9,5,2.275953507423401
Async-LocalSGD,3,0.25,10,6,2.274049174785614
Async-LocalSGD,2,0.3333333333333333,11,6,2.2691019415855407
Async-LocalSGD,7,0.125,12,8,2.266747260093689
Async-LocalSGD,7,0.125,13,8,2.2643155217170716
Async-LocalSGD,4,0.2,14,8,2.2623356580734253
Async-LocalSGD,7,0.125,15,10,2.261151385307312
Async-LocalSGD,5,0.16666666666666666,16,10,2.2576663374900816
Async-LocalSGD,5,0.16666666666666666,17,10,2.2546117544174193
Async-LocalSGD,4,0.2,18,11,2.251519966125488
Async-LocalSGD,2,0.3333333333333333,19,11,2.24242987036705
Async-LocalSGD,7,0.125,20,12,2.240171265602112
Async-LocalSGD,6,0.14285714285714285,21,12,2.2373097002506257
Async-LocalSGD,3,0.25,22,12,2.230210375785828
Async-LocalSGD,5,0.16666666666666666,23,13,2.2260648250579833
Async-LocalSGD,4,0.2,24,13,2.2221332788467407
Async-LocalSGD,9,0.1,25,14,2.2200903415679933
Async-LocalSGD,5,0.16666666666666666,26,14,2.2138572454452516
Async-LocalSGD,3,0.25,27,14,2.201728254556656
Async-LocalSGD,6,0.14285714285714285,28,15,2.1962438106536863
Async-LocalSGD,6,0.14285714285714285,29,15,2.1897271037101746
Async-LocalSGD,5,0.16666666666666666,30,15,2.182039189338684
Async-LocalSGD,5,0.16666666666666666,31,15,2.1737096548080443
Async-LocalSGD,5,0.16666666666666666,32,16,2.1662441432476043
Async-LocalSGD,4,0.2,33,17,2.1554854929447176
Async-LocalSGD,0,1.0,34,18,2.0781680405139924
Async-LocalSGD,7,0.125,35,19,2.076244968175888
Async-LocalSGD,6,0.14285714285714285,36,19,2.0610955476760866
Async-LocalSGD,6,0.14285714285714285,37,19,2.047551745176315
Async-LocalSGD,6,0.14285714285714285,38,19,2.0350559830665587
Async-LocalSGD,6,0.14285714285714285,39,21,2.0322146832942964
Async-LocalSGD,5,0.16666666666666666,40,22,2.008943963050842
