method,staleness,staleness_weight,step,time,train_loss
FedAvg,,,1,1,2.328456223011017
FedAvg,,,2,2,2.3098976850509643
FedAvg,,,3,3,2.311430722475052
FedAvg,,,4,4,2.305181139707565
FedAvg,,,5,5,2.2974795758724214
FedAvg,,,6,6,2.293248379230499
FedAvg,,,7,7,2.290350967645645
FedAvg,,,8,8,2.285989147424698
FedAvg,,,9,9,2.2755807459354402
FedAvg,,,10,10,2.271542900800705
FedAvg,,,11,11,2.2668477058410645
FedAvg,,,12,12,2.252398931980133
FedAvg,,,13,13,2.2583321630954742
FedAvg,,,14,14,2.2468878626823425
FedAvg,,,15,15,2.2793328166007996
FedAvg,,,16,16,2.256439429521561
FedAvg,,,17,17,2.2261550426483154
FedAvg,,,18,18,2.2228225648403166
FedAvg,,,19,19,2.2242775738239287
FedAvg,,,20,20,2.2427554368972777
FedAvg,,,21,21,2.2401381194591523
FedAvg,,,22,22,2.2524847805500032
FedAvg,,,23,23,2.169831794500351
FedAvg,,,24,24,2.2268105328083037
FedAvg,,,25,25,2.1735775589942934
FedAvg,,,26,26,2.174181991815567
FedAvg,,,27,27,2.170497703552246
FedAvg,,,28,28,2.236324727535248
FedAvg,,,29,29,2.2194909274578096
FedAvg,,,30,30,2.144735944271088
FedAvg,,,31,31,2.1517333507537844
FedAvg,,,32,32,2.1711924612522124
FedAvg,,,33,33,2.1310200452804566
FedAvg,,,34,34,2.1669893860816956
FedAvg,,,35,35,2.1036731719970705
FedAvg,,,36,36,2.1018641233444213
FedAvg,,,37,37,2.1448351979255675
FedAvg,,,38,38,2.11772243976593
FedAvg,,,39,39,2.0852314710617064
FedAvg,,,40,40,2.149682652950287
FedAvg,,,41,41,2.105214422941208
FedAvg,,,42,42,2.0762672543525698
FedAvg,,,43,43,2.113587725162506
FedAvg,,,44,44,2.1200707495212554
FedAvg,,,45,45,2.0701452672481535
FedAvg,,,46,46,2.091755723953247
FedAvg,,,47,47,2.056641587615013
FedAvg,,,48,48,2.057719200849533
FedAvg,,,49,49,2.0562208950519563
FedAvg,,,50,50,2.1515313506126406
FedAvg,,,51,51,2.0719271451234818
FedAvg,,,52,52,2.048129656910896
FedAvg,,,53,53,2.0398236930370333
FedAvg,,,54,54,2.0448386281728745
FedAvg,,,55,55,2.032028543949127
FedAvg,,,56,56,2.0276283413171767
FedAvg,,,57,57,2.0619520097970963
FedAvg,,,58,58,2.08549165725708
FedAvg,,,59,59,2.0899404168128966
FedAvg,,,60,60,2.0325964063405992
FedAvg,,,61,61,2.0962745785713195
FedAvg,,,62,62,2.030307802557945
FedAvg,,,63,63,2.012118262052536
FedAvg,,,64,64,2.08579121530056
FedAvg,,,65,65,2.0197565078735353
FedAvg,,,66,66,2.0806519061326982
FedAvg,,,67,67,2.0561762779951094
FedAvg,,,68,68,2.0435947716236114
FedAvg,,,69,69,2.0190624803304673
FedAvg,,,70,70,2.027014857530594
FedAvg,,,71,71,2.013257881999016
FedAvg,,,72,72,2.0077152818441393
FedAvg,,,73,73,2.0008008390665055
FedAvg,,,74,74,2.003512054681778
FedAvg,,,75,75,1.998391592502594
