method,staleness,staleness_weight,step,time,train_loss
FedAvg,,,1,1,2.2872431725263596
FedAvg,,,2,2,2.2590458542108536
FedAvg,,,3,3,2.453514024615288
FedAvg,,,4,4,2.2718050107359886
FedAvg,,,5,5,2.254772812128067
FedAvg,,,6,6,2.1835694015026093
FedAvg,,,7,7,2.091247320175171
FedAvg,,,8,8,2.0724072381854057
FedAvg,,,9,9,2.0937977954745293
FedAvg,,,10,10,2.044500559568405
FedAvg,,,11,11,2.0667178481817245
FedAvg,,,12,12,1.9991490989923477
AsyncSGD,0,1.0,1,1,2.413709282875061
AsyncSGD,1,0.5,2,1,2.3879646211862564
AsyncSGD,2,0.3333333333333333,3,2,2.348228767514229
AsyncSGD,3,0.25,4,4,2.3343550860881805
AsyncSGD,4,0.2,5,4,2.322283834218979
AsyncSGD,3,0.25,6,4,2.3229494243860245
AsyncSGD,6,0.14285714285714285,7,5,2.321512386202812
AsyncSGD,6,0.14285714285714285,8,6,2.313463971018791
AsyncSGD,4,0.2,9,6,2.3112412244081497
AsyncSGD,4,0.2,10,6,2.3043572306632996
AsyncSGD,7,0.125,11,7,2.3054517060518265
AsyncSGD,5,0.16666666666666666,12,8,2.300840899348259
AsyncSGD,5,0.16666666666666666,13,8,2.3023258298635483
AsyncSGD,5,0.16666666666666666,14,9,2.30341500043869
AsyncSGD,5,0.16666666666666666,15,9,2.3008574694395065
AsyncSGD,2,0.3333333333333333,16,9,2.30327370762825
AsyncSGD,6,0.14285714285714285,17,10,2.3110827803611755
AsyncSGD,6,0.14285714285714285,18,11,2.3014410734176636
AsyncSGD,3,0.25,19,12,2.29010246694088
AsyncSGD,3,0.25,20,12,2.2851166129112244
AsyncSGD,8,0.1111111111111111,21,13,2.2850798666477203
AsyncSGD,3,0.25,22,13,2.2816291749477386
AsyncSGD,8,0.1111111111111111,23,14,2.2787532806396484
AsyncSGD,4,0.2,24,14,2.279679223895073
AsyncSGD,7,0.125,25,15,2.278357610106468
AsyncSGD,5,0.16666666666666666,26,15,2.2761399894952774
AsyncSGD,5,0.16666666666666666,27,15,2.274611607193947
AsyncSGD,3,0.25,28,16,2.274338573217392
AsyncSGD,6,0.14285714285714285,29,18,2.275080770254135
AsyncSGD,6,0.14285714285714285,30,18,2.270992875099182
AsyncSGD,4,0.2,31,19,2.273864522576332
AsyncSGD,6,0.14285714285714285,32,20,2.2723203748464584
AsyncSGD,5,0.16666666666666666,33,20,2.2716068774461746
AsyncSGD,5,0.16666666666666666,34,21,2.2727968990802765
AsyncSGD,4,0.2,35,21,2.273079678416252
AsyncSGD,6,0.14285714285714285,36,22,2.272586017847061
Async-LocalSGD,0,1.0,1,1,2.6627391949295998
Async-LocalSGD,1,0.5,2,1,2.6907181069254875
Async-LocalSGD,2,0.3333333333333333,3,1,2.9597302675247192
Async-LocalSGD,3,0.25,4,2,3.2291740775108337
Async-LocalSGD,2,0.3333333333333333,5,2,3.620223581790924
Async-LocalSGD,0,1.0,6,3,2.7914855405688286
Async-LocalSGD,6,0.14285714285714285,7,4,2.787786364555359
Async-LocalSGD,3,0.25,8,4,2.6190831661224365
Async-LocalSGD,8,0.1111111111111111,9,5,2.615386702120304
Async-LocalSGD,8,0.1111111111111111,10,5,2.6002982407808304
Async-LocalSGD,7,0.125,11,5,2.698876738548279
Async-LocalSGD,5,0.16666666666666666,12,7,2.7911778539419174
Async-LocalSGD,5,0.16666666666666666,13,7,2.667838580906391
Async-LocalSGD,5,0.16666666666666666,14,7,2.554364137351513
Async-LocalSGD,4,0.2,15,8,2.4628932923078537
Async-LocalSGD,4,0.2,16,8,2.5463906973600388
Async-LocalSGD,2,0.3333333333333333,17,8,2.4431978911161423
Async-LocalSGD,8,0.1111111111111111,18,9,2.4757723435759544
Async-LocalSGD,5,0.16666666666666666,19,9,2.390633173286915
Async-LocalSGD,2,0.3333333333333333,20,9,2.3552191704511642
Async-LocalSGD,0,1.0,21,10,2.488585986196995
Async-LocalSGD,3,0.25,22,11,2.4033487290143967
Async-LocalSGD,3,0.25,23,11,2.5216017812490463
Async-LocalSGD,11,0.08333333333333333,24,12,2.496410556137562
Async-LocalSGD,9,0.1,25,12,2.479893781244755
Async-LocalSGD,9,0.1,26,12,2.459818698465824
Async-LocalSGD,3,0.25,27,12,2.364908553659916
Async-LocalSGD,5,0.16666666666666666,28,13,2.329875595867634
Async-LocalSGD,4,0.2,29,13,2.311948873102665
Async-LocalSGD,8,0.1111111111111111,30,15,2.3194099590182304
Async-LocalSGD,3,0.25,31,15,2.345657132565975
Async-LocalSGD,6,0.14285714285714285,32,16,2.3497721403837204
Async-LocalSGD,6,0.14285714285714285,33,16,2.3599932491779327
Async-LocalSGD,4,0.2,34,17,2.324551932513714
Async-LocalSGD,6,0.14285714285714285,35,18,2.3364579156041145
Async-LocalSGD,5,0.16666666666666666,36,18,2.314584881067276
