active_clients,local_steps,method,staleness,staleness_weight,step,time,train_loss
5,2,FedAvg-5clients,,,1,1,7.872139823436737
5,2,FedAvg-5clients,,,2,2,4.0299343943595884
5,2,FedAvg-5clients,,,3,3,2.938314664363861
5,2,FedAvg-5clients,,,4,4,2.0751289933919908
5,2,FedAvg-5clients,,,5,5,1.3999272733926773
5,2,FedAvg-5clients,,,6,6,1.0619460009038448
5,2,FedAvg-5clients,,,7,7,0.7801470048725605
5,2,FedAvg-5clients,,,8,8,0.5351064305752515
5,2,FedAvg-5clients,,,9,9,0.40997674986720084
5,2,FedAvg-5clients,,,10,10,0.3114781554788351
5,2,FedAvg-5clients,,,11,11,0.19996029753237962
5,2,FedAvg-5clients,,,12,12,0.15472616944462061
5,2,FedAvg-5clients,,,13,13,0.1258947086520493
5,2,FedAvg-5clients,,,14,14,0.09310430688783526
5,2,FedAvg-5clients,,,15,15,0.0708992344327271
5,2,FedAvg-5clients,,,16,16,0.05374974315054715
5,2,FedAvg-5clients,,,17,17,0.04330954565666616
5,2,FedAvg-5clients,,,18,18,0.03237332878634334
5,2,FedAvg-5clients,,,19,19,0.02485424585174769
5,2,FedAvg-5clients,,,20,20,0.016984411561861635
5,2,FedAvg-5clients,,,21,21,0.01320160054601729
5,2,FedAvg-5clients,,,22,22,0.010908991878386587
5,2,FedAvg-5clients,,,23,23,0.008915880275890232
5,2,FedAvg-5clients,,,24,24,0.0063706714543513955
5,2,FedAvg-5clients,,,25,25,0.005267635837662965
5,2,FedAvg-5clients,,,26,26,0.004460054566152394
5,2,FedAvg-5clients,,,27,27,0.0036553837737301363
5,2,FedAvg-5clients,,,28,28,0.003067018574802205
5,2,FedAvg-5clients,,,29,29,0.002576083882013336
5,2,FedAvg-5clients,,,30,30,0.002100738388253376
5,2,FedAvg-5clients,,,31,31,0.0019130781904095784
5,2,FedAvg-5clients,,,32,32,0.0016505202176631429
5,2,FedAvg-5clients,,,33,33,0.0014629022145527415
5,2,FedAvg-5clients,,,34,34,0.0013107168168062344
5,2,FedAvg-5clients,,,35,35,0.0012018860565149226
5,2,FedAvg-5clients,,,36,36,0.0011658177725621499
5,2,FedAvg-5clients,,,37,37,0.0011336694835335948
5,2,FedAvg-5clients,,,38,38,0.001100026717176661
5,2,FedAvg-5clients,,,39,39,0.0010529744642553851
5,2,FedAvg-5clients,,,40,40,0.0010111051713465713
10,2,FedAvg-10clients,,,1,1,7.049398910999298
10,2,FedAvg-10clients,,,2,2,5.352030700445175
10,2,FedAvg-10clients,,,3,3,3.514556038379669
10,2,FedAvg-10clients,,,4,4,2.605225941538811
10,2,FedAvg-10clients,,,5,5,1.7914474040269852
10,2,FedAvg-10clients,,,6,6,1.29436002522707
10,2,FedAvg-10clients,,,7,7,1.050598905980587
10,2,FedAvg-10clients,,,8,8,0.8006811276078224
10,2,FedAvg-10clients,,,9,9,0.6078641138970852
10,2,FedAvg-10clients,,,10,10,0.4591924864798784
10,2,FedAvg-10clients,,,11,11,0.3481121327728033
10,2,FedAvg-10clients,,,12,12,0.25842083618044853
10,2,FedAvg-10clients,,,13,13,0.17667582146823407
10,2,FedAvg-10clients,,,14,14,0.14098755065351726
10,2,FedAvg-10clients,,,15,15,0.10897801648825407
10,2,FedAvg-10clients,,,16,16,0.08385533895343542
10,2,FedAvg-10clients,,,17,17,0.0678987025283277
10,2,FedAvg-10clients,,,18,18,0.052328787231817844
10,2,FedAvg-10clients,,,19,19,0.0404081953689456
10,2,FedAvg-10clients,,,20,20,0.03301736246794462
10,2,FedAvg-10clients,,,21,21,0.024217299907468258
10,2,FedAvg-10clients,,,22,22,0.01953991879709065
10,2,FedAvg-10clients,,,23,23,0.014814870618283748
10,2,FedAvg-10clients,,,24,24,0.011411167611368001
10,2,FedAvg-10clients,,,25,25,0.009006730618420989
10,2,FedAvg-10clients,,,26,26,0.0073462395230308175
10,2,FedAvg-10clients,,,27,27,0.0058602372999303045
10,2,FedAvg-10clients,,,28,28,0.004614604846574366
10,2,FedAvg-10clients,,,29,29,0.0036714470479637384
10,2,FedAvg-10clients,,,30,30,0.0029383958433754744
10,2,FedAvg-10clients,,,31,31,0.002291728393174708
10,2,FedAvg-10clients,,,32,32,0.0019062314211623743
10,2,FedAvg-10clients,,,33,33,0.0016759485326474533
10,2,FedAvg-10clients,,,34,34,0.0015107662562513723
10,2,FedAvg-10clients,,,35,35,0.0013562529435148462
10,2,FedAvg-10clients,,,36,36,0.0012373900637612679
10,2,FedAvg-10clients,,,37,37,0.001186009457160253
10,2,FedAvg-10clients,,,38,38,0.0011247223868849688
10,2,FedAvg-10clients,,,39,39,0.00107568581297528
10,2,FedAvg-10clients,,,40,40,0.0010317490465240552
20,2,FedAvg-20clients,,,1,1,7.6946832776069645
20,2,FedAvg-20clients,,,2,2,5.360512614250183
20,2,FedAvg-20clients,,,3,3,3.774274480342865
20,2,FedAvg-20clients,,,4,4,2.6293216973543165
20,2,FedAvg-20clients,,,5,5,1.8161528915166856
20,2,FedAvg-20clients,,,6,6,1.3289675623178483
20,2,FedAvg-20clients,,,7,7,1.0349711813032627
20,2,FedAvg-20clients,,,8,8,0.757422859966755
20,2,FedAvg-20clients,,,9,9,0.5613640889525413
20,2,FedAvg-20clients,,,10,10,0.4421681955456734
20,2,FedAvg-20clients,,,11,11,0.3153165984898806
20,2,FedAvg-20clients,,,12,12,0.2417472019791603
20,2,FedAvg-20clients,,,13,13,0.17668237760663033
20,2,FedAvg-20clients,,,14,14,0.13352761566638946
20,2,FedAvg-20clients,,,15,15,0.10282744448632002
20,2,FedAvg-20clients,,,16,16,0.07724432032555342
20,2,FedAvg-20clients,,,17,17,0.058875928865745664
20,2,FedAvg-20clients,,,18,18,0.044283486902713776
20,2,FedAvg-20clients,,,19,19,0.03149138777516782
20,2,FedAvg-20clients,,,20,20,0.024498372012749313
20,2,FedAvg-20clients,,,21,21,0.018624786171130836
20,2,FedAvg-20clients,,,22,22,0.014037785993423313
20,2,FedAvg-20clients,,,23,23,0.01068623982137069
20,2,FedAvg-20clients,,,24,24,0.008384391269646584
20,2,FedAvg-20clients,,,25,25,0.006578736915253102
20,2,FedAvg-20clients,,,26,26,0.0051418744318652895
20,2,FedAvg-20clients,,,27,27,0.003976883267750963
20,2,FedAvg-20clients,,,28,28,0.0032400014315498993
20,2,FedAvg-20clients,,,29,29,0.0027420757745858283
20,2,FedAvg-20clients,,,30,30,0.0022736430517397823
20,2,FedAvg-20clients,,,31,31,0.0019523831317201257
20,2,FedAvg-20clients,,,32,32,0.0016952547288383358
20,2,FedAvg-20clients,,,33,33,0.0015030107868369668
20,2,FedAvg-20clients,,,34,34,0.0013807063107378781
20,2,FedAvg-20clients,,,35,35,0.0012686245172517374
20,2,FedAvg-20clients,,,36,36,0.0011933024405152536
20,2,FedAvg-20clients,,,37,37,0.0011314589180983603
20,2,FedAvg-20clients,,,38,38,0.0010890201621805318
20,2,FedAvg-20clients,,,39,39,0.0010492284505744464
20,2,FedAvg-20clients,,,40,40,0.00102189692115644
,1,AsyncSGD,0,1.0,1,1,10.146973216533661
,1,AsyncSGD,1,0.5,2,2,8.663269650936126
,1,AsyncSGD,2,0.3333333333333333,3,3,8.197791039943695
,1,AsyncSGD,2,0.3333333333333333,4,3,7.841172599792481
,1,AsyncSGD,4,0.2,5,4,7.279891175031662
,1,AsyncSGD,2,0.3333333333333333,6,4,6.615799981355667
,1,AsyncSGD,6,0.14285714285714285,7,5,6.546344983577728
,1,AsyncSGD,7,0.125,8,5,6.5092513859272
,1,AsyncSGD,8,0.1111111111111111,9,5,6.442437809705734
,1,AsyncSGD,7,0.125,10,5,6.329571169614792
,1,AsyncSGD,4,0.2,11,5,6.211602652072907
,1,AsyncSGD,11,0.08333333333333333,12,6,6.065017372369766
,1,AsyncSGD,3,0.25,13,6,5.88224493265152
,1,AsyncSGD,8,0.1111111111111111,14,7,5.839850151538849
,1,AsyncSGD,2,0.3333333333333333,15,7,5.735205596685409
,1,AsyncSGD,11,0.08333333333333333,16,8,5.709669506549835
,1,AsyncSGD,8,0.1111111111111111,17,8,5.663519614934922
,1,AsyncSGD,7,0.125,18,10,5.560457533597946
,1,AsyncSGD,11,0.08333333333333333,19,11,5.521356356143952
,1,AsyncSGD,8,0.1111111111111111,20,11,5.469944941997528
,1,AsyncSGD,7,0.125,21,11,5.42762850522995
,1,AsyncSGD,6,0.14285714285714285,22,11,5.338394993543625
,1,AsyncSGD,8,0.1111111111111111,23,12,5.2855317950248715
,1,AsyncSGD,5,0.16666666666666666,24,13,5.232070064544677
,1,AsyncSGD,4,0.2,25,13,5.20693975687027
,1,AsyncSGD,9,0.1,26,14,5.106838589906692
,1,AsyncSGD,9,0.1,27,14,5.079540640115738
,1,AsyncSGD,8,0.1111111111111111,28,15,5.022987657785416
,1,AsyncSGD,5,0.16666666666666666,29,15,4.945069354772568
,1,AsyncSGD,3,0.25,30,15,4.781476300954819
,1,AsyncSGD,8,0.1111111111111111,31,16,4.731124711036682
,1,AsyncSGD,2,0.3333333333333333,32,16,4.6319721162319185
,1,AsyncSGD,11,0.08333333333333333,33,17,4.584107154607773
,1,AsyncSGD,8,0.1111111111111111,34,17,4.539698439836502
,1,AsyncSGD,10,0.09090909090909091,35,18,4.490474474430084
,1,AsyncSGD,8,0.1111111111111111,36,18,4.433046352863312
,1,AsyncSGD,2,0.3333333333333333,37,18,4.332322180271149
,1,AsyncSGD,7,0.125,38,19,4.300769686698914
,1,AsyncSGD,10,0.09090909090909091,39,20,4.271474009752273
,1,AsyncSGD,8,0.1111111111111111,40,20,4.205532121658325
,1,AsyncSGD,8,0.1111111111111111,41,20,4.178147396445274
,1,AsyncSGD,5,0.16666666666666666,42,20,4.086123242974281
,1,AsyncSGD,0,1.0,43,21,3.6150898545980454
,1,AsyncSGD,10,0.09090909090909091,44,22,3.5749397546052935
,1,AsyncSGD,9,0.1,45,23,3.5405602037906645
,1,AsyncSGD,8,0.1111111111111111,46,23,3.5084490150213243
,1,AsyncSGD,8,0.1111111111111111,47,23,3.4967079758644104
,1,AsyncSGD,8,0.1111111111111111,48,23,3.4509927451610567
,1,AsyncSGD,5,0.16666666666666666,49,24,3.442025935649872
,1,AsyncSGD,9,0.1,50,26,3.426417189836502
,1,AsyncSGD,9,0.1,51,26,3.3902526974678038
,1,AsyncSGD,6,0.14285714285714285,52,26,3.367260354757309
,1,AsyncSGD,4,0.2,53,26,3.3176922261714936
,1,AsyncSGD,7,0.125,54,27,3.3011650145053864
,1,AsyncSGD,4,0.2,55,27,3.269260573387146
,1,AsyncSGD,3,0.25,56,27,3.1633761405944822
,1,AsyncSGD,3,0.25,57,27,3.0901776909828187
,1,AsyncSGD,13,0.07142857142857142,58,28,3.024208575487137
,1,AsyncSGD,11,0.08333333333333333,59,28,3.0140600144863128
,1,AsyncSGD,10,0.09090909090909091,60,29,2.9777219861745836
,1,AsyncSGD,6,0.14285714285714285,61,29,2.9309788584709167
,1,AsyncSGD,3,0.25,62,29,2.8329282641410827
